ship_type,route_type,distance_nm,speed_knots,draft_m,cargo_weight_tonnes,weather_impact_index,fuel_consumption_tonnes,co2_emissions_tonnes
Container Ship,Indian Ocean,4441.41,18.68,13.28,119806.72,0.0,303475.23,945021.86
Container Ship,Indian Ocean,7972.56,23.02,13.98,139782.2,0.0,917029.01,2855628.35
Oil Tanker,Indian Ocean,656.79,14.56,12.25,94146.84,0.0,24036.67,74850.2
Oil Tanker,Indian Ocean,9875.68,11.37,10.71,62829.23,0.6,198421.7,617885.18
Oil Tanker,Trans-Pacific,9840.97,13.21,16.23,218947.88,0.0,520234.34,1620009.73
General Cargo,Indian Ocean,4983.85,10.9,8.53,31732.05,0.0,63801.57,198678.07
Oil Tanker,North Atlantic,5154.34,14.91,15.87,204582.36,0.0,331520.19,1032353.87
Ro-Ro Cargo,Asia-Europe,4259.82,18.87,8.78,34646.86,0.0,155964.64,485673.9
Bulk Carrier,North Atlantic,4125.25,14.09,12.0,88560.7,0.0,143106.79,445634.53
Ro-Ro Cargo,Asia-Europe,8474.35,17.47,7.32,20106.43,0.4,207144.46,645047.83
Ro-Ro Cargo,Intra-Asia,1563.76,19.97,8.33,29630.01,0.4,64660.7,201353.41
Ro-Ro Cargo,North Atlantic,6158.63,15.85,9.25,40559.96,0.4,197690.88,615609.41
Oil Tanker,North Atlantic,6520.98,13.2,11.56,79014.9,0.0,174519.59,543453.99
General Cargo,Indian Ocean,1155.81,10.34,7.43,20992.99,0.0,10112.06,31488.97
Oil Tanker,Indian Ocean,978.16,14.28,14.76,164657.02,0.0,49953.91,155556.47
Container Ship,North Atlantic,9814.13,22.78,13.04,113636.55,0.2,1020169.99,3176809.35
General Cargo,North Atlantic,9360.14,12.8,8.54,31917.58,0.0,165839.94,516425.58
General Cargo,Intra-Asia,11127.24,12.93,7.4,20713.14,0.8,186920.23,582069.6
Container Ship,Trans-Pacific,11202.39,19.54,14.5,155985.7,0.2,1058405.94,3295876.11
Oil Tanker,North Atlantic,9585.17,13.2,12.86,108965.1,0.0,317710.04,989349.06
Container Ship,North Atlantic,4402.01,12.74,11.86,85340.71,0.2,118380.51,368636.91
Ro-Ro Cargo,Asia-Europe,4579.38,16.71,9.78,47927.98,0.0,163154.98,508064.59
Oil Tanker,Trans-Pacific,7588.92,13.46,8.55,32038.8,0.0,115546.94,359813.16
Container Ship,Trans-Pacific,11477.51,19.79,14.4,152860.47,0.0,1035067.83,3223201.22
Container Ship,Asia-Europe,5116.81,18.98,12.99,112216.81,0.0,345604.69,1076213.02
Ro-Ro Cargo,Trans-Pacific,8945.21,14.98,8.23,28535.76,0.0,181161.11,564135.71
Ro-Ro Cargo,Intra-Asia,10527.0,17.57,8.7,33675.72,0.2,347423.2,1081875.85
Oil Tanker,Asia-Europe,8301.51,13.12,12.22,93457.33,0.2,260035.29,809749.88
Bulk Carrier,Indian Ocean,6921.05,15.27,9.25,40520.26,0.6,197558.24,615196.36
General Cargo,Indian Ocean,9184.04,13.76,5.79,9934.77,0.2,91500.23,284931.72
Oil Tanker,Intra-Asia,4637.63,14.66,15.66,196613.23,0.0,281056.49,875209.91
Container Ship,Indian Ocean,4245.38,23.85,11.54,78771.96,0.0,357679.35,1113813.48
Oil Tanker,Asia-Europe,11263.28,13.32,13.96,139386.93,0.2,474893.49,1478818.33
Bulk Carrier,Intra-Asia,753.76,15.7,12.57,101728.8,0.8,44152.98,137492.38
Ro-Ro Cargo,Indian Ocean,2020.07,15.68,9.37,42060.38,0.0,58100.05,180923.54
General Cargo,Intra-Asia,2676.76,10.51,5.95,10795.01,0.0,15512.44,48305.74
Bulk Carrier,Trans-Pacific,9935.61,10.29,10.91,66487.43,0.4,170000.61,529381.91
Ro-Ro Cargo,Trans-Pacific,6878.9,18.8,8.11,27299.29,0.4,238699.99,743311.77
Container Ship,Indian Ocean,3345.1,12.17,12.22,93446.38,0.6,97088.4,302333.27
Ro-Ro Cargo,Intra-Asia,741.74,16.87,6.85,16458.59,0.4,14792.99,46065.37
General Cargo,Intra-Asia,3107.89,12.09,8.01,26328.61,0.2,45816.02,142671.08
Oil Tanker,Indian Ocean,2826.38,11.74,10.88,65980.29,0.0,53005.01,165057.61
General Cargo,Indian Ocean,3612.13,13.53,8.45,30857.97,0.0,69940.19,217793.74
Oil Tanker,Asia-Europe,7099.46,11.28,9.57,44904.61,0.2,100925.26,314281.25
Ro-Ro Cargo,Trans-Pacific,11051.74,14.68,7.8,24259.33,0.4,216198.4,673241.83
Container Ship,Asia-Europe,5688.72,18.3,14.26,148331.65,0.0,430123.64,1339405.01
Container Ship,Asia-Europe,9659.57,23.81,14.39,152431.34,0.4,1410140.86,4391178.65
Ro-Ro Cargo,Trans-Pacific,8369.61,19.94,8.12,27460.47,0.6,345519.47,1075947.63
General Cargo,Indian Ocean,8232.48,11.14,5.84,10187.38,0.0,51618.63,160740.42
Oil Tanker,Indian Ocean,5257.3,14.06,12.54,100878.47,0.2,199119.05,620056.72
Container Ship,Intra-Asia,976.42,23.86,9.41,42666.22,0.8,67835.62,211240.12
General Cargo,Trans-Pacific,7601.58,10.2,6.18,12068.1,0.0,44741.65,139325.49
General Cargo,Asia-Europe,1336.45,13.69,7.24,19402.16,0.0,19430.91,60507.85
Oil Tanker,Intra-Asia,8403.9,12.3,15.94,207501.05,0.8,460615.51,1434356.71
Ro-Ro Cargo,North Atlantic,9006.35,17.78,8.52,31675.86,0.2,292307.27,910244.85
Bulk Carrier,Indian Ocean,8912.96,11.64,12.57,101804.95,0.0,231295.81,720255.14
Oil Tanker,North Atlantic,11507.77,11.72,9.66,46138.45,0.6,200186.23,623379.93
General Cargo,North Atlantic,1180.54,12.27,7.64,22846.65,0.2,16309.36,50787.34
Ro-Ro Cargo,Trans-Pacific,8896.99,14.07,9.77,47810.61,0.2,237699.26,740195.5
General Cargo,North Atlantic,4587.55,10.83,8.53,31796.79,0.2,61542.78,191644.21
Oil Tanker,Asia-Europe,7328.48,12.43,13.25,119025.02,0.2,242144.8,754038.91
General Cargo,North Atlantic,7058.3,12.21,7.23,19321.76,0.0,81462.03,253672.76
Oil Tanker,Asia-Europe,6984.77,14.12,12.74,105805.03,0.0,259723.98,808780.46
General Cargo,Intra-Asia,8952.79,13.18,7.5,21617.38,0.2,137554.4,428344.4
Container Ship,Asia-Europe,5319.64,15.14,10.3,55981.86,0.2,152341.94,474392.81
Bulk Carrier,Intra-Asia,6206.75,10.04,10.03,51665.71,0.0,76277.15,237527.03
Oil Tanker,North Atlantic,2505.71,14.77,14.42,153644.18,0.0,130645.58,406830.35
Bulk Carrier,Asia-Europe,1941.82,12.17,12.18,92583.75,0.0,51741.25,161122.25
Ro-Ro Cargo,Trans-Pacific,1899.5,16.97,7.86,24817.17,0.2,47689.32,148504.54
General Cargo,Asia-Europe,9123.39,11.72,8.12,27443.87,0.6,144525.02,450050.92
Bulk Carrier,Trans-Pacific,2784.41,11.61,9.31,41355.37,0.0,39475.45,122926.56
Container Ship,North Atlantic,5404.75,19.06,12.77,106616.05,0.2,376934.66,1173774.53
Bulk Carrier,Intra-Asia,7158.24,14.29,12.42,98176.41,0.0,273446.13,851511.23
Container Ship,Trans-Pacific,10430.02,16.65,13.0,112580.73,0.0,543212.77,1691564.57
Ro-Ro Cargo,Intra-Asia,6910.16,16.0,7.82,24511.93,0.4,161600.61,503224.3
Ro-Ro Cargo,Intra-Asia,9884.91,19.32,9.35,41846.97,0.0,429851.69,1338558.17
Bulk Carrier,Asia-Europe,7842.62,10.8,9.51,44006.36,0.0,100189.65,311990.56
General Cargo,Intra-Asia,783.11,13.61,5.39,8022.31,0.0,6248.43,19457.62
Ro-Ro Cargo,Indian Ocean,963.32,19.47,8.12,27410.28,0.2,34029.84,105968.93
General Cargo,Asia-Europe,9491.75,11.21,8.41,30429.05,0.4,139988.26,435923.45
Bulk Carrier,Trans-Pacific,2598.27,10.33,10.28,55541.58,0.8,43969.18,136920.02
Ro-Ro Cargo,Indian Ocean,4090.18,17.03,7.62,22618.17,0.0,91707.01,285575.62
General Cargo,Asia-Europe,3595.36,11.62,6.42,13573.39,0.0,29686.58,92444.02
Ro-Ro Cargo,North Atlantic,9299.73,15.94,9.32,41441.86,0.0,273712.8,852341.67
Ro-Ro Cargo,North Atlantic,1217.96,16.04,8.18,28053.65,0.0,27960.62,87069.36
Bulk Carrier,Intra-Asia,10568.12,14.85,10.21,54426.49,0.0,294349.47,916604.24
Oil Tanker,Intra-Asia,10985.91,12.09,15.62,195297.4,0.0,450953.29,1404268.54
Container Ship,Trans-Pacific,3159.72,20.03,9.68,46452.68,0.0,132036.53,411161.75
Ro-Ro Cargo,Intra-Asia,2078.95,19.17,9.34,41676.67,0.8,110102.34,342858.7
Oil Tanker,Asia-Europe,4098.57,14.78,15.77,200884.82,0.6,302207.66,941074.66
General Cargo,North Atlantic,8293.82,12.97,7.87,24920.98,0.0,127855.92,398143.34
Oil Tanker,Indian Ocean,8750.85,11.21,10.94,67122.56,0.0,151527.95,471858.05
Container Ship,Intra-Asia,7814.54,20.12,13.93,138466.26,0.0,682268.03,2124582.65
Container Ship,North Atlantic,9620.22,17.73,11.45,76944.9,0.8,546443.71,1701625.73
Ro-Ro Cargo,Intra-Asia,5891.08,16.41,9.64,45883.71,0.4,220295.21,685999.28
Container Ship,Trans-Pacific,7538.1,13.67,11.43,76509.02,0.0,204603.27,637134.58
Oil Tanker,Intra-Asia,3611.43,13.53,15.01,173265.81,0.0,171170.52,533025.01
Container Ship,Indian Ocean,7200.23,23.73,10.3,55874.55,0.8,592183.87,1844060.56
Container Ship,Intra-Asia,3439.85,12.67,10.92,66582.07,0.2,77532.65,241436.67
Bulk Carrier,Asia-Europe,882.58,12.78,9.22,40076.14,0.0,14829.9,46180.3
Oil Tanker,Intra-Asia,8126.18,11.29,11.79,83994.36,0.2,175649.54,546972.66
Ro-Ro Cargo,Trans-Pacific,2750.7,18.71,8.32,29510.15,0.4,99593.8,310135.08
Container Ship,Trans-Pacific,1029.73,15.32,10.33,56483.41,0.6,33841.58,105382.69
Container Ship,Asia-Europe,11087.95,17.22,14.6,159488.13,0.0,779482.03,2427307.03
General Cargo,Indian Ocean,3025.8,11.67,6.32,12901.81,0.0,24375.56,75905.49
Bulk Carrier,Asia-Europe,1277.45,10.72,9.22,40110.2,0.4,16943.34,52761.57
Container Ship,North Atlantic,3285.01,15.69,13.45,124667.53,0.0,162678.51,506580.87
Container Ship,Trans-Pacific,909.29,13.33,13.51,126246.17,0.8,40612.52,126467.39
Bulk Carrier,Intra-Asia,5005.83,10.23,9.38,42228.03,0.4,62593.57,194916.37
Container Ship,North Atlantic,6352.28,20.11,12.21,93302.01,0.6,502357.57,1564341.47
Bulk Carrier,Trans-Pacific,9792.78,10.23,11.37,75356.8,0.0,160613.15,500149.36
Container Ship,Trans-Pacific,10423.61,16.78,14.19,146380.3,0.0,657193.5,2046500.56
Container Ship,Indian Ocean,3199.68,16.84,9.27,40837.87,0.4,97137.25,302485.4
Oil Tanker,North Atlantic,3273.4,12.23,8.56,32124.37,0.0,41254.04,128465.09
Container Ship,Indian Ocean,4833.97,17.01,11.36,74963.33,0.6,236414.14,736193.65
General Cargo,Trans-Pacific,10159.97,12.15,7.95,25697.84,0.0,140290.41,436864.33
Bulk Carrier,North Atlantic,2389.3,11.92,10.09,52614.36,0.4,46951.77,146207.82
Oil Tanker,Intra-Asia,9250.19,11.08,12.49,99866.69,0.0,203883.61,634893.56
General Cargo,Indian Ocean,5980.05,10.69,5.96,10847.85,0.4,40279.87,125431.52
Oil Tanker,Trans-Pacific,6385.48,11.05,16.0,209620.12,0.4,257012.56,800337.11
Oil Tanker,Indian Ocean,11779.13,14.21,8.81,34991.3,0.2,224904.94,700353.98
Bulk Carrier,North Atlantic,6762.39,12.36,10.55,60197.18,0.0,139491.71,434377.19
Bulk Carrier,Asia-Europe,6288.47,11.86,9.22,40086.39,0.4,102038.77,317748.74
Ro-Ro Cargo,Intra-Asia,5117.22,14.71,8.99,37227.6,0.4,133692.54,416318.56
Container Ship,Trans-Pacific,11489.97,15.29,9.56,44777.37,0.8,338363.64,1053664.39
Container Ship,Intra-Asia,5010.5,14.15,9.59,45172.01,0.6,120980.12,376732.08
Bulk Carrier,Intra-Asia,11784.46,10.65,12.39,97297.52,0.0,248664.49,774341.23
Bulk Carrier,Asia-Europe,7782.53,13.77,12.4,97725.12,0.0,275283.55,857232.97
Oil Tanker,Intra-Asia,11126.84,13.79,15.85,203795.71,0.4,683774.13,2129272.63
Ro-Ro Cargo,Indian Ocean,2207.83,16.14,8.92,36340.65,0.2,64645.23,201305.23
General Cargo,Trans-Pacific,2761.91,10.53,6.95,17170.96,0.0,21896.26,68184.96
Oil Tanker,North Atlantic,8504.92,13.4,14.79,165701.37,0.0,384275.8,1196634.85
Ro-Ro Cargo,Indian Ocean,9710.8,16.81,7.61,22530.81,0.0,211780.56,659484.65
Bulk Carrier,Trans-Pacific,8364.51,12.06,12.86,108833.66,0.0,243688.69,758846.59
Container Ship,Asia-Europe,4644.53,20.7,14.06,142438.55,0.0,437545.29,1362516.04
General Cargo,Asia-Europe,6755.69,10.83,7.44,21091.77,0.0,64969.49,202315.0
Bulk Carrier,Asia-Europe,9841.75,11.47,10.67,62138.06,0.0,178670.93,556381.28
General Cargo,Trans-Pacific,8719.0,12.33,7.51,21689.83,0.0,110700.46,344721.24
General Cargo,Intra-Asia,2747.77,12.14,7.46,21295.84,0.0,33419.8,104069.26
General Cargo,Trans-Pacific,9237.97,11.49,6.77,15868.12,0.0,82722.48,257597.81
Oil Tanker,North Atlantic,10630.29,13.39,15.36,185488.98,0.0,516734.66,1609111.73
Ro-Ro Cargo,Trans-Pacific,11070.89,18.46,7.69,23263.31,0.0,297404.31,926117.02
Ro-Ro Cargo,North Atlantic,2688.88,18.98,8.89,35975.7,0.6,120404.08,374938.29
Container Ship,Asia-Europe,4090.21,17.17,11.4,75907.84,0.4,195113.63,607583.85
Bulk Carrier,Indian Ocean,11321.41,14.76,10.48,58872.51,0.2,347989.46,1083639.18
General Cargo,Trans-Pacific,730.27,11.78,7.97,25875.8,0.0,9531.61,29681.43
General Cargo,North Atlantic,6023.38,12.48,7.2,19140.89,0.2,76414.97,237956.22
Bulk Carrier,North Atlantic,9109.0,11.75,9.48,43590.18,0.0,136966.2,426512.75
Ro-Ro Cargo,Asia-Europe,7551.25,16.37,8.64,33003.42,0.4,225621.07,702584.01
Ro-Ro Cargo,Indian Ocean,7610.34,17.21,9.7,46787.27,0.2,300128.96,934601.59
Bulk Carrier,Intra-Asia,1118.49,12.57,11.26,73053.19,0.0,27160.71,84578.47
Container Ship,North Atlantic,2261.16,18.61,14.01,140691.96,0.4,191147.79,595234.22
Ro-Ro Cargo,Indian Ocean,5310.35,19.13,9.09,38427.7,0.0,214071.12,666617.46
General Cargo,Indian Ocean,2551.79,11.99,7.36,20376.24,0.0,29399.73,91550.77
Oil Tanker,North Atlantic,2704.97,12.3,14.61,159739.7,0.2,106517.32,331694.92
Ro-Ro Cargo,North Atlantic,9433.18,14.53,9.5,43828.79,0.4,268082.13,834807.76
Oil Tanker,Intra-Asia,6656.5,13.83,10.91,66423.95,0.2,184425.77,574301.86
Container Ship,Trans-Pacific,10120.11,20.98,12.59,102169.26,0.4,878309.14,2735054.67
General Cargo,Indian Ocean,8771.32,13.81,7.12,18449.51,0.6,148136.86,461298.19
Bulk Carrier,North Atlantic,1894.98,14.36,8.28,29071.36,0.0,32462.33,101087.7
Container Ship,Asia-Europe,2411.94,19.21,12.81,107729.99,0.0,162337.96,505520.42
Ro-Ro Cargo,Intra-Asia,1896.27,14.74,8.78,34645.96,0.4,47451.24,147763.17
Oil Tanker,Trans-Pacific,3361.42,11.1,13.76,133340.1,0.0,90095.47,280557.28
Oil Tanker,Indian Ocean,9851.2,13.91,10.56,60365.03,0.0,244584.52,761636.18
General Cargo,Intra-Asia,10344.01,12.03,6.96,17253.29,0.4,120217.38,374356.92
Ro-Ro Cargo,Asia-Europe,11110.42,19.6,8.09,27104.07,0.2,394644.86,1228924.09
Bulk Carrier,Trans-Pacific,5959.84,10.22,12.28,94764.71,0.0,113751.58,354222.41
Container Ship,Intra-Asia,4233.01,12.76,13.09,114822.3,0.2,139016.27,432896.68
General Cargo,Indian Ocean,5966.94,11.83,6.6,14752.41,0.4,60448.58,188236.88
Container Ship,Asia-Europe,1813.73,22.15,12.28,94818.14,0.0,149077.84,464228.39
Ro-Ro Cargo,Asia-Europe,5861.91,19.89,8.19,28095.81,0.4,232052.52,722611.53
Ro-Ro Cargo,Asia-Europe,8769.37,16.3,8.33,29598.51,0.2,228442.83,711370.96
General Cargo,North Atlantic,5022.51,10.4,6.49,14021.37,0.2,35990.75,112075.2
Bulk Carrier,Indian Ocean,4527.28,13.92,10.38,57234.9,0.2,121450.3,378196.24
General Cargo,Indian Ocean,11612.15,13.07,5.88,10387.87,0.8,125751.34,391589.67
Container Ship,Intra-Asia,3779.87,20.41,12.98,112095.06,0.2,312694.36,973730.24
Oil Tanker,Trans-Pacific,2452.23,12.06,11.3,73904.5,0.0,52367.77,163073.22
General Cargo,Intra-Asia,6794.23,10.69,5.94,10719.19,0.0,40538.02,126235.4
Oil Tanker,Indian Ocean,6931.01,14.41,12.64,103401.3,0.2,280095.51,872217.42
Bulk Carrier,Trans-Pacific,4835.34,15.78,7.93,25538.7,0.2,97325.91,303072.88
General Cargo,Indian Ocean,4477.38,13.4,6.99,17458.16,0.0,58165.03,181125.91
Container Ship,Intra-Asia,7959.85,22.56,12.01,88769.98,0.6,766440.79,2386696.62
Container Ship,Indian Ocean,2820.64,15.72,10.29,55754.56,0.6,96685.58,301078.9
Oil Tanker,North Atlantic,9199.19,11.74,12.27,94600.99,0.0,219297.75,682893.18
Ro-Ro Cargo,Intra-Asia,4250.96,14.24,8.87,35731.9,0.0,90453.45,281672.06
Container Ship,Intra-Asia,1999.06,14.51,14.56,158158.54,0.0,99178.38,308841.49
Ro-Ro Cargo,Trans-Pacific,4155.9,18.85,9.42,42835.48,0.0,174843.03,544461.19
General Cargo,Indian Ocean,6311.7,10.15,6.68,15243.42,0.0,42948.48,133741.58
Ro-Ro Cargo,Trans-Pacific,11257.04,14.8,9.4,42546.11,0.4,325555.54,1013779.94
General Cargo,Asia-Europe,11289.08,11.45,7.79,24238.81,0.0,133270.61,415004.69
Container Ship,Intra-Asia,2855.23,23.15,13.71,131837.96,0.4,357825.98,1114270.11
General Cargo,Trans-Pacific,4001.64,11.13,6.96,17293.36,0.8,44174.19,137558.44
Ro-Ro Cargo,Intra-Asia,9721.16,16.26,9.74,47251.76,0.0,324963.71,1011937.01
General Cargo,Asia-Europe,3015.87,13.79,6.22,12335.78,0.0,32901.53,102455.36
Ro-Ro Cargo,Indian Ocean,3289.26,14.8,8.52,31655.27,0.0,69718.53,217103.51
Ro-Ro Cargo,North Atlantic,2432.23,16.85,7.94,25597.74,0.0,57971.86,180524.37
Oil Tanker,Indian Ocean,8251.44,13.31,16.06,212038.81,0.0,433233.99,1349090.63
Container Ship,North Atlantic,3448.75,19.02,11.3,73877.66,0.6,208952.21,650677.19
Oil Tanker,Intra-Asia,8748.51,14.64,13.86,136404.64,0.2,439028.28,1367134.05
Oil Tanker,Asia-Europe,4939.59,12.9,13.54,127032.72,0.8,214732.93,668678.35
Bulk Carrier,Indian Ocean,1290.67,12.88,12.78,106844.12,0.2,44948.22,139968.75
Ro-Ro Cargo,Indian Ocean,6913.42,18.96,7.61,22527.83,0.0,191669.22,596857.94
General Cargo,Intra-Asia,10153.71,12.01,7.01,17640.73,0.2,113053.23,352047.77
Bulk Carrier,Indian Ocean,8726.88,13.08,9.28,40864.52,0.8,193064.67,601203.37
Container Ship,Trans-Pacific,11309.13,15.99,10.54,59942.2,0.0,357005.58,1111715.39
Bulk Carrier,North Atlantic,5677.72,10.31,10.28,55606.14,0.0,77366.13,240918.14
Ro-Ro Cargo,Intra-Asia,1933.45,17.13,9.1,38579.69,0.8,77666.02,241851.99
General Cargo,Indian Ocean,723.65,10.19,5.78,9901.12,0.0,3721.35,11588.28
General Cargo,Intra-Asia,3837.93,11.83,8.41,30459.83,0.2,59645.55,185736.24
Container Ship,Asia-Europe,11846.91,21.5,12.83,108211.83,0.0,1002460.99,3121663.52
Container Ship,Indian Ocean,11371.77,17.85,13.79,134222.79,0.0,765323.35,2383216.9
Ro-Ro Cargo,Asia-Europe,3521.29,19.34,8.68,33513.75,0.0,132426.36,412375.69
General Cargo,North Atlantic,7257.71,12.84,8.15,27767.49,0.4,131952.67,410900.63
Container Ship,Indian Ocean,4614.18,20.76,12.23,93706.22,0.0,330602.81,1029497.16
Ro-Ro Cargo,North Atlantic,5930.6,19.22,7.27,19691.61,0.4,172988.35,538685.74
General Cargo,North Atlantic,571.11,13.64,7.51,21700.49,0.4,9945.56,30970.47
Bulk Carrier,Indian Ocean,663.26,13.23,13.14,116231.65,0.0,24288.88,75635.57
Oil Tanker,Asia-Europe,3806.38,14.98,15.33,184497.36,0.2,244662.15,761877.95
Ro-Ro Cargo,Indian Ocean,1986.07,14.33,7.2,19103.32,0.0,28199.59,87813.52
General Cargo,Asia-Europe,8492.16,12.18,6.41,13454.27,0.2,81101.45,252549.92
Oil Tanker,Asia-Europe,9379.75,12.48,14.59,159159.06,0.0,357887.4,1114461.38
Container Ship,Intra-Asia,9490.47,17.18,11.68,81635.07,0.0,424861.96,1323020.16
Oil Tanker,Asia-Europe,9814.76,12.37,14.37,151909.69,0.0,356332.72,1109620.1
General Cargo,Indian Ocean,604.5,11.04,7.32,20108.07,0.2,6208.76,19334.07
Bulk Carrier,Asia-Europe,8630.0,10.48,12.71,105100.57,0.2,196612.96,612252.77
General Cargo,Indian Ocean,11147.01,11.8,6.47,13859.54,0.2,102002.22,317634.92
Bulk Carrier,North Atlantic,7183.98,11.57,8.94,36615.59,0.4,104494.88,325397.07
Oil Tanker,Asia-Europe,8436.42,13.06,14.2,146473.07,0.4,373070.05,1161740.13
Ro-Ro Cargo,Indian Ocean,8409.35,17.16,8.01,26271.91,0.0,211531.96,658710.52
General Cargo,Asia-Europe,4942.31,10.2,5.65,9239.78,0.0,24313.48,75712.17
Ro-Ro Cargo,Trans-Pacific,578.16,18.27,9.67,46352.65,0.4,26961.29,83957.46
Bulk Carrier,Asia-Europe,11808.42,13.46,10.92,66692.43,0.0,309256.27,963024.02
Oil Tanker,Intra-Asia,8284.03,11.35,14.57,158323.48,0.0,260552.03,811359.03
Bulk Carrier,Intra-Asia,8402.68,12.37,9.97,50713.7,0.4,173514.04,540322.72
Bulk Carrier,Intra-Asia,8287.17,15.63,10.16,53728.21,0.0,253312.03,788813.65
Ro-Ro Cargo,Trans-Pacific,3420.82,15.32,8.5,31473.6,0.6,91330.81,284404.15
Container Ship,Intra-Asia,8807.73,21.12,11.23,72537.07,0.0,550847.47,1715339.02
Oil Tanker,Indian Ocean,10523.24,14.46,10.6,60978.45,0.0,284358.21,885491.47
Container Ship,Asia-Europe,4624.61,20.6,11.43,76393.95,0.0,284705.23,886572.08
General Cargo,Asia-Europe,4636.27,13.38,8.24,28599.75,0.2,88398.01,275271.41
Oil Tanker,Indian Ocean,9443.75,14.97,14.75,164211.46,0.0,529168.67,1647831.24
Oil Tanker,Indian Ocean,2076.11,12.78,16.06,212176.44,0.6,118596.12,369308.33
Bulk Carrier,Asia-Europe,10295.59,15.46,13.23,118455.01,0.0,521657.51,1624441.5
General Cargo,Intra-Asia,5766.58,12.13,7.51,21655.6,0.0,70779.96,220408.79
Oil Tanker,Trans-Pacific,7162.1,12.34,13.67,130682.46,0.6,276049.79,859619.04
Bulk Carrier,Intra-Asia,811.43,12.67,12.18,92588.13,0.0,23427.31,72952.63
Bulk Carrier,Asia-Europe,8003.47,10.75,13.03,113246.36,0.0,190234.92,592391.54
Ro-Ro Cargo,North Atlantic,10478.57,19.57,7.34,20265.1,0.4,322950.96,1005669.29
Bulk Carrier,Intra-Asia,5544.46,13.77,12.92,110375.34,0.0,212668.28,662249.03
Container Ship,Intra-Asia,6580.13,17.5,13.19,117568.89,0.0,389733.66,1213630.62
General Cargo,Indian Ocean,6772.42,11.17,7.11,18440.35,0.0,63376.4,197354.12
Bulk Carrier,Trans-Pacific,7227.9,10.62,9.59,45151.43,0.0,90855.51,282924.05
General Cargo,Intra-Asia,7969.89,10.43,7.21,19214.26,0.6,78808.43,245409.45
Ro-Ro Cargo,Trans-Pacific,1792.57,14.45,8.9,36033.75,0.0,39495.09,122987.7
General Cargo,Trans-Pacific,9943.14,11.55,6.03,11204.82,0.8,88440.99,275405.24
Oil Tanker,Indian Ocean,7849.74,12.1,15.35,185071.44,0.0,311158.36,968947.12
Oil Tanker,North Atlantic,8023.54,13.41,15.65,196131.99,0.8,503593.2,1568189.23
Oil Tanker,Indian Ocean,4499.5,12.63,11.53,78386.04,0.0,109615.74,341343.41
Oil Tanker,Indian Ocean,6413.61,14.52,15.02,173638.28,0.2,371744.42,1157612.13
Container Ship,Trans-Pacific,959.4,17.27,14.29,149418.23,0.0,64924.71,202175.54
Ro-Ro Cargo,Intra-Asia,10370.8,18.95,8.81,34966.27,0.0,385092.8,1199178.98
Bulk Carrier,Asia-Europe,11212.01,12.39,9.95,50416.33,0.0,206418.85,642788.31
Oil Tanker,Indian Ocean,8348.88,12.42,13.69,131396.41,0.2,294180.18,916077.07
Bulk Carrier,Intra-Asia,8038.36,10.75,10.2,54304.17,0.0,117137.15,364765.07
Oil Tanker,Intra-Asia,5663.93,14.56,16.08,212896.74,0.0,357042.26,1111829.59
Bulk Carrier,Asia-Europe,3313.53,14.93,12.0,88393.44,0.0,128799.71,401082.29
Oil Tanker,North Atlantic,8224.09,12.78,12.71,105201.39,0.0,249714.55,777611.11
General Cargo,Asia-Europe,10202.88,10.2,8.0,26240.84,0.0,100616.89,313321.0
General Cargo,Indian Ocean,9201.44,10.37,7.44,21115.43,0.2,86016.99,267856.91
Ro-Ro Cargo,Intra-Asia,11399.65,16.41,7.55,22062.19,0.0,233418.51,726865.24
Ro-Ro Cargo,Asia-Europe,11980.67,15.22,7.25,19503.71,0.2,206041.79,641614.13
Oil Tanker,Indian Ocean,8955.13,11.11,12.03,89036.28,0.2,194628.16,606072.1
General Cargo,Trans-Pacific,4553.53,10.82,7.79,24205.54,0.0,47959.96,149347.33
Container Ship,Asia-Europe,1390.23,19.44,13.68,131108.68,0.2,115784.17,360551.92
General Cargo,Trans-Pacific,7610.28,12.32,8.13,27508.42,0.4,126565.67,394125.48
Bulk Carrier,Indian Ocean,9096.49,10.34,12.67,104107.99,0.6,223146.82,694879.19
Container Ship,Asia-Europe,879.64,17.18,9.38,42300.15,0.8,31509.35,98120.12
Oil Tanker,Trans-Pacific,3206.91,11.7,15.21,180141.8,0.0,116797.34,363706.9
General Cargo,North Atlantic,9228.23,10.58,6.35,13081.14,0.2,65276.91,203272.3
Container Ship,Asia-Europe,7100.19,22.74,11.12,70405.53,0.0,504507.59,1571036.63
Bulk Carrier,Trans-Pacific,5162.92,12.69,10.16,53708.41,0.8,128969.32,401610.45
Bulk Carrier,North Atlantic,6992.83,12.13,10.07,52302.45,0.0,126442.97,393743.41
Ro-Ro Cargo,Asia-Europe,1689.96,19.37,7.82,24501.94,0.2,54855.59,170820.3
Ro-Ro Cargo,Indian Ocean,2687.62,18.1,8.68,33461.4,0.2,93757.06,291959.49
Oil Tanker,Trans-Pacific,2154.48,11.37,12.3,95176.89,0.0,48418.38,150774.84
Oil Tanker,Indian Ocean,1998.68,11.57,15.68,197480.3,0.2,80112.12,249469.15
General Cargo,Trans-Pacific,11122.91,10.67,5.87,10342.64,0.4,72303.13,225151.93
Container Ship,Intra-Asia,3010.49,14.75,11.79,83907.92,0.0,101195.31,315122.19
